Movie_Id,Genre_Id
496243,35
496243,53
496243,18
761053,10749
761053,18
569094,16
569094,28
569094,12
569094,878
527641,10749
527641,18
447362,18
447362,10749
299534,12
299534,878
299534,28
637920,18
508965,16
508965,10751
508965,12
508965,35
508965,14
618344,16
618344,28
618344,878
315162,16
315162,12
315162,14
315162,35
315162,10751
635302,28
635302,16
635302,12
635302,14
635302,53
441130,16
441130,10751
441130,12
441130,14
361743,28
361743,18
522924,18
522924,10749
606856,12
606856,10751
556574,36
556574,18
810693,16
810693,28
810693,14
592350,16
592350,28
592350,14
592350,12
693134,878
693134,12
1026227,35
1026227,18
475557,80
475557,53
475557,18
791373,28
791373,12
791373,14
458220,18
508442,16
508442,10751
508442,35
508442,14
755812,16
755812,10770
755812,14
755812,28
762975,10749
762975,18
555604,16
555604,14
555604,18
664767,16
664767,28
664767,14
531428,18
531428,10749
872585,18
872585,36
522518,10751
522518,12
522518,18
906126,18
906126,36
515001,35
515001,10752
515001,18
678512,28
678512,18
337404,35
337404,80
568160,16
568160,18
568160,14
568160,10749
359724,18
359724,28
359724,36
634649,28
634649,12
634649,878
530915,10752
530915,28
530915,18
530915,36
930094,35
930094,10749
447365,878
447365,12
447365,28
916224,16
916224,18
916224,12
916224,14
1010581,18
1010581,10749
615457,28
615457,53
776503,18
776503,10402
776503,10749
482321,16
482321,878
482321,10751
482321,35
491480,18
491480,36
501929,16
501929,12
501929,35
550205,16
550205,10751
550205,35
550205,14
610150,16
610150,878
610150,28
522402,878
522402,18
522402,12
667520,16
667520,18
667520,10749
667520,14
331482,18
331482,10749
438695,16
438695,10751
438695,10402
438695,35
691179,99
785084,18
527774,16
527774,10751
527774,14
527774,28
527774,12
715931,18
715931,10752
715931,36
980489,12
980489,28
980489,18
508943,16
508943,35
508943,14
508943,12
508943,10751
546554,35
546554,80
546554,9648
581528,80
581528,28
581528,53
585511,16
585511,12
585511,35
585511,14
545611,28
545611,12
545611,878
438631,878
438631,12
666277,18
666277,10749
882569,10752
882569,28
882569,53
792307,878
792307,10749
792307,35
705861,18
705861,35
937278,35
937278,18
579974,28
579974,18
166428,16
166428,10751
166428,12
486589,16
486589,14
486589,18
486589,10751
486589,35
486589,10749
603692,28
603692,53
603692,80
492188,18
49046,18
49046,10752
49046,28
726759,53
726759,36
726759,18
1022789,16
1022789,10751
1022789,12
1022789,35
1022789,18
766507,53
766507,28
766507,878
506574,10751
506574,10770
506574,12
506574,14
840430,35
840430,18
556984,18
556984,36
786892,28
786892,12
786892,878
502033,18
502033,10402
522627,28
522627,80
522627,35
342470,10749
342470,18
508439,10751
508439,16
508439,12
508439,35
508439,14
965150,18
724495,28
724495,18
724495,36
414906,80
414906,9648
414906,53
502356,16
502356,10751
502356,12
502356,14
502356,35
537116,18
537116,10402
614917,18
614917,36
583083,35
583083,10749
976573,16
976573,35
976573,10751
976573,14
976573,10749
637649,80
637649,28
637649,12
637649,53
804095,18
507089,27
507089,9648
795514,18
76600,878
76600,12
76600,28
756999,27
756999,53
399566,28
399566,878
399566,12
585244,10402
585244,18
585244,10749
398978,80
398978,18
398978,36
568124,16
568124,35
568124,10751
568124,14
566525,28
566525,12
566525,14
